,SNo,date,dayResult,dayConfidence,latitude,longitude,dateUnixTimestamp
95397,90,2022-07-20,1,0.7359351,46.67183628092606,-122.3592196067072,1658275200000
95398,91,2022-07-20,1,0.7359351,46.67183628092606,-122.3465301087634,1658275200000
95399,92,2022-07-20,1,0.7359351,46.67183628092606,-122.33384061081958,1658275200000
95400,93,2022-07-20,1,0.7359351,46.67183628092606,-122.32115111287575,1658275200000
95401,94,2022-07-20,1,0.7359351,46.67183628092606,-122.30846161493194,1658275200000
95402,95,2022-07-20,1,0.7359351,46.67183628092606,-122.29577211698812,1658275200000
95403,96,2022-07-20,1,0.7359351,46.67183628092606,-122.28308261904432,1658275200000
95404,97,2022-07-20,1,0.7359351,46.67183628092606,-122.2703931211005,1658275200000
95405,98,2022-07-20,1,0.7359351,46.67183628092606,-122.25770362315669,1658275200000
95406,99,2022-07-20,1,0.7359351,46.67183628092606,-122.24501412521286,1658275200000
95407,100,2022-07-20,1,0.7359351,46.67183628092606,-122.23232462726904,1658275200000
95408,101,2022-07-20,1,0.7359351,46.67183628092606,-122.21963512932524,1658275200000
95409,102,2022-07-20,1,0.7359351,46.67183628092606,-122.2069456313814,1658275200000
95410,103,2022-07-20,1,0.7359351,46.67183628092606,-122.1942561334376,1658275200000
95411,104,2022-07-20,1,0.7359351,46.67183628092606,-122.18156663549377,1658275200000
95412,105,2022-07-20,1,0.7359351,46.67183628092606,-122.16887713754996,1658275200000
95949,106,2022-07-20,1,0.7359351,46.65914678298224,-122.3592196067072,1658275200000
95950,107,2022-07-20,1,0.7359351,46.65914678298224,-122.3465301087634,1658275200000
95951,108,2022-07-20,1,0.7359351,46.65914678298224,-122.33384061081958,1658275200000
95952,109,2022-07-20,1,0.7359351,46.65914678298224,-122.32115111287575,1658275200000
95953,110,2022-07-20,1,0.7359351,46.65914678298224,-122.30846161493194,1658275200000
95954,111,2022-07-20,1,0.7359351,46.65914678298224,-122.29577211698812,1658275200000
95955,112,2022-07-20,1,0.7359351,46.65914678298224,-122.28308261904432,1658275200000
95956,113,2022-07-20,1,0.7359351,46.65914678298224,-122.2703931211005,1658275200000
95957,114,2022-07-20,1,0.7359351,46.65914678298224,-122.25770362315669,1658275200000
95958,115,2022-07-20,1,0.7359351,46.65914678298224,-122.24501412521286,1658275200000
95959,116,2022-07-20,1,0.7359351,46.65914678298224,-122.23232462726904,1658275200000
95960,117,2022-07-20,1,0.7359351,46.65914678298224,-122.21963512932524,1658275200000
95961,118,2022-07-20,1,0.7359351,46.65914678298224,-122.2069456313814,1658275200000
95962,119,2022-07-20,1,0.7359351,46.65914678298224,-122.1942561334376,1658275200000
95963,120,2022-07-20,1,0.7359351,46.65914678298224,-122.18156663549377,1658275200000
95964,121,2022-07-20,1,0.7359351,46.65914678298224,-122.16887713754996,1658275200000
95965,122,2022-07-20,1,0.7359351,46.65914678298224,-122.15618763960612,1658275200000
95966,123,2022-07-20,1,0.7359351,46.65914678298224,-122.14349814166232,1658275200000
96504,124,2022-07-20,1,0.7359351,46.64645728503842,-122.3592196067072,1658275200000
96505,125,2022-07-20,1,0.7359351,46.64645728503842,-122.3465301087634,1658275200000
96506,126,2022-07-20,1,0.7359351,46.64645728503842,-122.33384061081958,1658275200000
96507,127,2022-07-20,1,0.7359351,46.64645728503842,-122.32115111287575,1658275200000
96508,128,2022-07-20,1,0.7359351,46.64645728503842,-122.30846161493194,1658275200000
96509,129,2022-07-20,1,0.7359351,46.64645728503842,-122.29577211698812,1658275200000
96510,130,2022-07-20,1,0.7359351,46.64645728503842,-122.28308261904432,1658275200000
96511,131,2022-07-20,1,0.7359351,46.64645728503842,-122.2703931211005,1658275200000
96512,132,2022-07-20,1,0.7359351,46.64645728503842,-122.25770362315669,1658275200000
96513,133,2022-07-20,1,0.7359351,46.64645728503842,-122.24501412521286,1658275200000
